[2025-06-21 02:40:02,642] INFO: Executing command: runuser -u factorio -g factorio -- /opt/factorio/bin/x64/factorio --create /factorio/saves/default_save.zip --map-gen-settings /factorio/config/map-gen-settings.json --map-settings /factorio/config/map-settings.json
[2025-06-21 02:41:30,080] INFO: Executing command: runuser -u factorio -g factorio -- /opt/factorio/bin/x64/factorio --create /factorio/saves/default_save.zip --map-gen-settings /factorio/config/map-gen-settings.json --map-settings /factorio/config/map-settings.json
[2025-06-21 02:42:02,922] INFO: Executing command: runuser -u factorio -g factorio -- /opt/factorio/bin/x64/factorio --create /factorio/saves/default_save.zip --map-gen-settings /factorio/config/map-gen-settings.json --map-settings /factorio/config/map-settings.json
[2025-06-21 02:43:24,988] INFO: Executing command: runuser -u factorio -g factorio -- /opt/factorio/bin/x64/factorio --create /factorio/saves/default_save.zip --map-gen-settings /factorio/config/map-gen-settings.json --map-settings /factorio/config/map-settings.json
[2025-06-21 02:43:26,912] INFO: Factorio Created Save with name: default_save
[2025-06-21 02:43:26,913] INFO: Running Factorio server on port 34197 with RCON port 27015
[2025-06-21 02:43:26,913] INFO: Executing command: runuser -u factorio -g factorio -- /opt/factorio/bin/x64/factorio --port 34197 --rcon-port 27015 --server-settings /factorio/config/server-settings.json --server-banlist /factorio/config/server-banlist.json --server-whitelist /factorio/config/server-whitelist.json --use-server-whitelist --server-adminlist /factorio/config/server-adminlist.json --rcon-password Q7LKS0MY3X22LPO --server-id /factorio/config/server-id.json --mod-directory /factorio/mods --start-server /factorio/saves/default_save.zip
[2025-06-21 02:47:38,081] INFO: Manager initialized successfully.
[2025-06-21 02:47:38,082] INFO: Factorio server files not found, downloading...
[2025-06-21 02:47:38,082] INFO: stable
[2025-06-21 02:47:44,708] INFO: Factorio server files downloaded to /tmp/factorio_downloads/factorio.tar.xz
[2025-06-21 02:47:44,719] INFO: Installing Factorio server files from /tmp/factorio_downloads/factorio.tar.xz to /opt/factorio
[2025-06-21 02:47:50,284] INFO: Creating necessary directories in /opt/factorio
[2025-06-21 02:47:50,290] INFO: Setting permissions for Factorio server files in /opt/factorio and /factorio
